inglés,español,endeavors,esfuerzos
inglés,español,daunting,desalentador
inglés,español,isolate,aislar
inglés,español,disheartened,desanimado
inglés,español,quirky,peculiar
inglés,español,mimicked,imitado
inglés,español,Regardless,Sin importar
inglés,español,widening,ensanchamiento
inglés,español,Below,Abajo
inglés,español,overlap,superposición
inglés,español,commandment,mandamiento
inglés,español,strive,esforzarse
inglés,español,clips off,recorta
inglés,español,Shrinking,Contracción
inglés,español,wreak havoc,causar estragos
inglés,español,blow off,quitar
inglés,español,keen,afilado
inglés,español,aghast,espantado
inglés,español,blindy,ciego
inglés,español,obeyed,obedecido
inglés,español,groomed,arreglado